time;MSL_filtered_GIA_TPA_corrected_adjusted;

2010-01-01;13.026342;
2010-01-02;13.093409;
2010-01-03;13.158216;
2010-01-04;13.22072;
2010-01-05;13.280874;
2010-01-06;13.338635;
2010-01-07;13.393962;
2010-01-08;13.4468155;
2010-01-09;13.497157;
2010-01-10;13.544954;
2010-01-11;13.590171;
2010-01-12;13.632779;
2010-01-13;13.672749;
2010-01-14;13.7100525;
2010-01-15;13.744668;
2010-01-16;13.776572;
2010-01-17;13.805746;
2010-01-18;13.832172;
2010-01-19;13.855834;
2010-01-20;13.87672;
2010-01-21;13.89482;
2010-01-22;13.910126;
2010-01-23;13.922629;
2010-01-24;13.932329;
2010-01-25;13.939224;
2010-01-26;13.943315;
2010-01-27;13.944605;
2010-01-28;13.943102;
2010-01-29;13.938813;
2010-01-30;13.931752;
2010-01-31;13.921931;
2010-02-01;13.909368;
2010-02-02;13.894081;
2010-02-03;13.876093;
2010-02-04;13.855426;
2010-02-05;13.8321085;
2010-02-06;13.806169;
2010-02-07;13.777637;
2010-02-08;13.746547;
2010-02-09;13.712935;
2010-02-10;13.67684;
2010-02-11;13.638299;
2010-02-12;13.597356;
2010-02-13;13.554054;
2010-02-14;13.50844;
2010-02-15;13.460561;
2010-02-16;13.410465;
2010-02-17;13.358206;
2010-02-18;13.303835;
2010-02-19;13.247406;
2010-02-20;13.188976;
2010-02-21;13.128603;
2010-02-22;13.066346;
2010-02-23;13.002265;
2010-02-24;12.936422;
2010-02-25;12.868882;
2010-02-26;12.799708;
2010-02-27;12.728968;
2010-02-28;12.656727;
2010-03-01;12.583054;
2010-03-02;12.5080185;
2010-03-03;12.431689;
2010-03-04;12.354138;
2010-03-05;12.275437;
2010-03-06;12.195658;
2010-03-07;12.114872;
2010-03-08;12.033152;
2010-03-09;11.950571;
2010-03-10;11.867203;
2010-03-11;11.783118;
2010-03-12;11.698392;
2010-03-13;11.613096;
2010-03-14;11.527303;
2010-03-15;11.441085;
2010-03-16;11.354512;
2010-03-17;11.267659;
2010-03-18;11.180594;
2010-03-19;11.09339;
2010-03-20;11.006117;
2010-03-21;10.918843;
2010-03-22;10.83164;
2010-03-23;10.744575;
2010-03-24;10.657715;
2010-03-25;10.571127;
2010-03-26;10.484878;
2010-03-27;10.399031;
2010-03-28;10.313648;
2010-03-29;10.228794;
2010-03-30;10.1445265;
2010-03-31;10.060905;
2010-04-01;9.977987;
2010-04-02;9.895827;
2010-04-03;9.81448;
2010-04-04;9.733996;
2010-04-05;9.654428;
2010-04-06;9.575823;
2010-04-07;9.498228;
2010-04-08;9.421689;
2010-04-09;9.346249;
2010-04-10;9.271949;
2010-04-11;9.19883;
2010-04-12;9.126927;
2010-04-13;9.056278;
2010-04-14;8.9869175;
2010-04-15;8.918875;
2010-04-16;8.852182;
2010-04-17;8.786866;
2010-04-18;8.722953;
2010-04-19;8.660466;
2010-04-20;8.599427;
2010-04-21;8.539855;
2010-04-22;8.481768;
2010-04-23;8.42518;
2010-04-24;8.370108;
2010-04-25;8.316561;
2010-04-26;8.26455;
2010-04-27;8.214084;
2010-04-28;8.165169;
2010-04-29;8.117811;
2010-04-30;8.072015;
2010-05-01;8.027781;
2010-05-02;7.98511;
2010-05-03;7.944002;
2010-05-04;7.9044547;
2010-05-05;7.8664646;
2010-05-06;7.8300257;
2010-05-07;7.7951307;
2010-05-08;7.761772;
2010-05-09;7.72994;
2010-05-10;7.699622;
2010-05-11;7.6708064;
2010-05-12;7.6434784;
2010-05-13;7.617622;
